,round,scenario,algorithm,metric,at,value
0,4,100000,KNN,map,15,0.7472634313797699
0,4,100000,KNN,mrr,1,0.7825392600479105
0,4,100000,KNN,mrr,3,0.874101676869843
0,4,100000,KNN,mrr,5,0.878719723183391
0,4,100000,KNN,mrr,7,0.87889083235104
0,4,100000,KNN,mrr,9,0.87889083235104
0,4,100000,KNN,mrr,11,0.87889083235104
0,4,100000,KNN,mrr,13,0.87889083235104
0,4,100000,KNN,mrr,15,0.87889083235104
0,4,100000,PER,map,1,0.7777482033537397
0,4,100000,PER,map,3,0.7709460858249785
0,4,100000,PER,map,5,0.767067474048443
0,4,100000,PER,map,7,0.7621864748916158
0,4,100000,PER,map,9,0.7567694509511531
0,4,100000,PER,map,11,0.752056844461258
0,4,100000,PER,map,13,0.7489346178333399
0,4,100000,PER,map,15,0.7472541646248307
0,4,100000,PER,mrr,1,0.7777482033537397
0,4,100000,PER,mrr,3,0.8708189158016149
0,4,100000,PER,mrr,5,0.8754103451335286
0,4,100000,PER,mrr,7,0.8755814543011775
0,4,100000,PER,mrr,9,0.8755814543011775
0,4,100000,PER,mrr,11,0.8755814543011775
0,4,100000,PER,mrr,13,0.8755814543011775
0,4,100000,PER,mrr,15,0.8755814543011775
0,4,100000,MLP,map,1,0.7756208963745361
0,4,100000,MLP,map,3,0.7698242776033241
0,4,100000,MLP,map,5,0.7646898690011736
0,4,100000,MLP,map,7,0.7592167177081129
0,4,100000,MLP,map,9,0.7538189568840932
0,4,100000,MLP,map,11,0.7489220114004644
0,4,100000,MLP,map,13,0.7448352490899818
0,4,100000,MLP,map,15,0.741907715512895
0,4,100000,MLP,mrr,1,0.7756208963745361
0,4,100000,MLP,mrr,3,0.870682272337996
0,4,100000,MLP,mrr,5,0.8750071367399371
0,4,100000,MLP,mrr,7,0.875190652909751
0,4,100000,MLP,mrr,9,0.875190652909751
0,4,100000,MLP,mrr,11,0.875190652909751
0,4,100000,MLP,mrr,13,0.875190652909751
0,4,100000,MLP,mrr,15,0.875190652909751
0,4,100000,CART,map,1,0.7585839765770561
0,4,100000,CART,map,3,0.7556487149912755
0,4,100000,CART,map,5,0.7495906899713128
0,4,100000,CART,map,7,0.7426314598237485
0,4,100000,CART,map,9,0.7360737967467865
0,4,100000,CART,map,11,0.7311223476273602
0,4,100000,CART,map,13,0.7280536545862659
0,4,100000,CART,map,15,0.7264384264494897
0,4,100000,CART,mrr,1,0.7585839765770561
0,4,100000,CART,mrr,3,0.8599503149676161
0,4,100000,CART,mrr,5,0.8647413716617868
0,4,100000,CART,mrr,7,0.8649124808294358
0,4,100000,CART,mrr,9,0.8649124808294358
0,4,100000,CART,mrr,11,0.8649124808294358
0,4,100000,CART,mrr,13,0.8649124808294358
0,4,100000,CART,mrr,15,0.8649124808294358
0,4,100000,RF,map,1,0.7670394036208733
0,4,100000,RF,map,3,0.7655972665956691
0,4,100000,RF,map,5,0.7619857857058336
0,4,100000,RF,map,7,0.7565531928959017
0,4,100000,RF,map,9,0.7507159321938849
0,4,100000,RF,map,11,0.7457373861122552
0,4,100000,RF,map,13,0.7421147108702084
0,4,100000,RF,map,15,0.7398003105139717
0,4,100000,RF,mrr,1,0.7670394036208733
0,4,100000,RF,mrr,3,0.8653265885694
0,4,100000,RF,mrr,5,0.8702520411785587
0,4,100000,RF,mrr,7,0.8703851615193468
0,4,100000,RF,mrr,9,0.8703851615193468
0,4,100000,RF,mrr,11,0.8703851615193468
0,4,100000,RF,mrr,13,0.8703851615193468
0,4,100000,RF,mrr,15,0.8703851615193468
0,4,100000,GNB,map,1,0.7657705616183125
0,4,100000,GNB,map,3,0.7657040191642268
0,4,100000,GNB,map,5,0.7624308697838109
0,4,100000,GNB,map,7,0.757994875174806
0,4,100000,GNB,map,9,0.7533685730870192
0,4,100000,GNB,map,11,0.7493832650579869
